nconst,primaryName
nm0007071,Dennis Bots
nm0007079,James Greer
nm0007144,Santosh Sivan
nm0007161,S.V. Krishna Reddy
nm0007173,Rabindranath Tagore
nm0007186,Arthur Miller
nm0007235,Ilaria Borrelli
nm0007344,Kim Fupz Aakeson
nm0007385,Jouko Aaltonen
nm0007399,Veikko Aaltonen
nm0007914,Lee Abbott
nm0008080,Olivier Abbou
nm0008333,Mirlan Abdykalykov
nm0008356,Kôbô Abe
nm0008409,Ramzi Abed
nm0008442,Dominique Abel
nm0008623,Keith Aberdein
nm0008743,Jonathan Aibel
nm0008814,Sean Abley
nm0009200,Kevin Abrams
nm0009248,Tom Abrams
nm0009357,Paulo Abreu
nm0009803,Stuart Acher
nm0010383,Aleksandr Adabashyan
nm0010602,Tina Adams
nm0011173,Marcus Adams
nm0011950,Robert Adetuyi
nm0012015,Lawrence B. Adisa
nm0012345,Jörg Adolph
nm0012384,Lorenzo Adorisio
nm0012541,Nikkhil Advani
nm0012715,Walid Afkir
nm0013138,Jim Agnew
nm0013676,Arantxa Aguirre
nm0013854,Noa Aharoni
nm0014160,Kiumars Poorahmad
nm0014535,Anton Maria Aigner
nm0014694,Karim Aïnouz
nm0014960,Alexandre Aja
nm0015091,Serdar Akar
nm0015149,Jacques Akchoti
nm0015295,Zoya Akhtar
nm0015685,Kays Al-Atrakchi
nm0016176,Juana Macías
nm0016203,Alfonso Albacete
nm0016263,Antonio Albanese
nm0016406,Eduardo Albergaria
nm0016475,Barbara Albert
nm0016628,Barbara Alberti
nm0016837,Edoardo Albinati
nm0017072,Eduardo Caldas
nm0017599,Philip Alderton
nm0018032,Cosimo Alemà
nm0018073,Vladimir Alenikov
nm0018132,Lisa Azuelos
nm0018840,Eleni Alexandraki
nm0018924,Ra'anan Alexandrowicz
nm0019665,Dean Alioto
nm0019723,Adolfo Alix Jr.
nm0019860,Wade Allain-Marcus
nm0020150,Britt Allcroft
nm0020406,David Allen
nm0020730,Kevin Scott Allen
nm0020811,Mark S. Allen
nm0022085,Giaime Alonge
nm0022261,Pedro Alonso
nm0022688,Ernie Altbacker
nm0022709,Steve Alten
nm0023361,Laura Alvea
nm0023929,Charles Band
nm0024521,Jorge Ameer
nm0024580,Claudio Amendola
nm0024617,Marco Amenta
nm0024950,Guy Amir
nm0025007,Martin Amis
nm0025025,Awam Amkpa
nm0025534,Jean-Pierre Améris
nm0025538,Patxi Amezcua
nm0025885,Marisa Andalò
nm0026153,Hans Christian Andersen
nm0026174,John Andreas Andersen
nm0026199,Lars Kristian Andersen
nm0026442,Brad Anderson
nm0026782,Gregory Ramon Anderson
nm0026829,Jace Anderson
nm0027572,Wes Anderson
nm0027915,Srdja Andjelic
nm0028118,Emily Andras
nm0028418,Michael Andres
nm0028968,Radivoje Andric
nm0029242,André Téchiné
nm0029400,Michael Angarano
nm0029405,Gustavo Angarita Jr.
nm0029574,Antouanetta Angelidi
nm0029762,Cédric Anger
nm0030338,Eitan Anner
nm0030417,Hideaki Anno
nm0030735,Nimród Antal
nm0030894,Jackson Anthony
nm0031700,Ackyl Anwari
nm0031866,Daoud Aoulad-Syad
nm0032108,Francesco Apolloni
nm0032530,Paula Apsell
nm0032607,Steve Aquilina
nm0032685,Yuriy Arabov
nm0032816,Haruhiko Arai
nm0032925,Shinji Aramaki
nm0033029,Arturo Arango
nm0033422,Kevin Arbouet
nm0033596,Louise Archambault
nm0034171,Panu Aree
nm0034895,Sandro Arista
nm0034922,Aristophanes
nm0035018,Arjun Sarja
nm0035609,Andy Armstrong
nm0035738,Jack Armstrong
nm0036062,Georges Arnaud
nm0036331,Pascal Arnold
nm0036349,Andrea Arnold
nm0036537,Lisa Arnold
nm0037136,Guel Arraes
nm0037239,Peter Arrhenius
nm0037247,Guillermo Arriaga
nm0037475,Mauricio Arruda
nm0037491,Emmanuelle Arsan
nm0037549,Ivan Arsenyev
nm0037575,Thomas Arslan
nm0037867,Yann Arthus-Bertrand
nm0038013,Meelis Arulepp
nm0038271,Jirô Asada
nm0038295,Yûzô Asahara
nm0038319,Morio Asaka
nm0038560,Jeff Knite
nm0038585,Miguel Asensio Llamas
nm0038778,James Ashcroft
nm0038933,Michelle Ashford
nm0039328,Piers Ashworth
nm0039402,Cecilie A. Mosli
nm0039467,Patrick Askin
nm0039575,Michael Asmussen
nm0039780,Shalom Assayag
nm0039873,Sergio Assisi
nm0039903,Eric Assous
nm0040029,Neville Astley
nm0040158,Karin Åström
nm0040407,Dimitris Athanitis
nm0040630,Mark Atkins
nm0040646,Ron Atkins
nm0040846,Jacoba Atlas
nm0040939,Yvan Attal
nm0040995,Dave Attell
nm0041315,Robin Aubert
nm0041528,Erik Aude
nm0041707,Gary Auerbach
nm0041758,Jérôme-Cecil Auffret
nm0042369,Dusty Austen
nm0042748,Phillip Avalon
nm0042814,Tommaso Avati
nm0043211,Yossi Aviram
nm0043232,Nurith Aviv
nm0043259,Aki Avni
nm0043335,Barry Avrich
nm0043423,Wilbert Awdry
nm0043429,Awie
nm0043668,Kianoush Ayari
nm0043705,Kader Ayd
nm0043742,David Ayer
nm0043953,Nabil Ayouch
nm0044246,Maria Emília de Azevedo
nm0044700,Baba Yadav
nm0045089,T.S. Suresh Babu
nm0045301,Danilo Bach
nm0045369,Braden Bacha
nm0046245,A.R. Badul
nm0046424,Veerle Baetens
nm0046480,Micheal Bafaro
nm0046494,Laurent Baffie
nm0046524,Anthony Bagarozzi
nm0047798,Mariano Baino
nm0047916,Robert L. Baird
nm0048040,Rados Bajic
nm0048129,Boris Bakal
nm0048735,Mark Baker
nm0048802,Noel S. Baker
nm0048918,Sean Baker
nm0049592,Marius Vaysberg
nm0049689,John Baldecchi
nm0050462,Sheila Ball
nm0050472,Steve Ball
nm0050948,Sylvie Ballyot
nm0051066,Daphne Ballon
nm0051166,Ali Taner Baltaci
nm0051304,Honoré de Balzac
nm0051466,James Bamford
nm0051518,Marni Banack
nm0051555,John Banas
nm0051642,Tom Bancroft
nm0051779,Saradindu Bandopadhyay
nm0051808,Bibhutibhushan Bandyopadhyay
nm0052755,Sharon Bar-Ziv
nm0052858,José Barahona
nm0053028,Philip Barantini
nm0053228,Ernie Barbarash
nm0053230,Luca Barbareschi
nm0053613,Eric Barbier
nm0053678,Renato Barbieri
nm0054077,Paris Barclay
nm0054358,Aleksi Bardy
nm0054391,Jason Winn 'J.B. Destiny' Bareford
nm0054621,Alessandro Baricco
nm0054672,Francesco Barilli
nm0054697,Ike Barinholtz
nm0054826,Arj Barker
nm0054862,David Barker
nm0055348,Nicola Barnaba
nm0055601,Gaylene Barnes
nm0055656,Joslyn Barnes
nm0056392,Juliana Baroni
nm0056527,John Barr
nm0056725,Christophe Barratier
nm0057024,Lima Barreto
nm0057347,Henry Barrial
nm0057381,J.M. Barrie
nm0057646,Carl Barron
nm0057774,Miguel Barros
nm0058302,Peter Barsocchini
nm0058799,Craig Bartlett
nm0059088,Amanda Barton
nm0059546,Chiara Barzini
nm0059556,Paolo Barzman
nm0059698,Giulio Base
nm0059718,Gary Baseman
nm0059750,George Basha
nm0059775,Vaikom Muhammad Basheer
nm0060076,Kim Bass
nm0060103,Ron Bass
nm0060634,Michal Bat-Adam
nm0061085,Jean-Paul Bathany
nm0061442,Rich Grosso
nm0061484,Giuseppe Battiston
nm0062340,Marietta von Hausswolff von Baumgarten
nm0062463,Andy Bausch
nm0063266,Tina Baz
nm0063279,Edward Bazalgette
nm0063357,Anees Bazmee
nm0064268,Adrien Beau
nm0064530,Marcel Beaulieu
nm0064741,Xavier Beauvois
nm0065007,Demián Bichir
nm0065496,Lars Becker
nm0065644,Ruth Beckermann
nm0065716,Samuel Beckett
nm0066138,Wendy Bednarz
nm0066525,Julia Beerhold
nm0066580,Jeff Beesley
nm0067126,Katerina Bei
nm0067619,Stephen Belber
nm0067644,Kent Belcher
nm0067677,Chris Belden
nm0068587,William Brent Bell
nm0068599,Vanessa Bell Calloway
nm0068903,Violaine Bellet
nm0068972,Deborah Rickey
nm0068973,Eugene John Bellida
nm0069166,Marco Bellocchio
nm0069260,Nicola Bellucci
nm0069582,David Belton
nm0069642,Emma Bertrán
nm0069699,Robert Belushi
nm0069821,Jennifer Beman
nm0070031,Tal Ben-David
nm0070046,Ayala Bengad
nm0070118,Pablo Ben Yakov
nm0070159,Jafar Panahi
nm0070282,Osvaldo Benavides
nm0070368,Steve Bencich
nm0070380,Alessandro Bencivenni
nm0070456,Darren Bender
nm0070589,Niclas Bendixen
nm0070867,Shyam Benegal
nm0070899,Jean-Patrick Benes
nm0071003,Angus Benfield
nm0071261,John B. Benitz
nm0071379,Caroline Benjo
nm0071382,Carlos Benjumea
nm0071611,Bill Bennett
nm0071770,Gary O. Bennett
nm0071825,Jill Bennett
nm0071935,Michael Bennett
nm0072032,Ronan Bennett
nm0072364,Faouzi Bensaïdi
nm0072600,Ned Benson
nm0072682,Mohamed Bensouda
nm0072913,Daniel Benton
nm0073026,David Benullo
nm0073488,Géza Bereményi
nm0073643,Marco Beretta
nm0073950,Sonia Bergamasco
nm0074163,Edward Berger
nm0074165,Elizabeth Berger
nm0074184,Glenn Berger
nm0074311,Pablo Berger
nm0074639,Fiona Bergin
nm0074844,Nir Bergman
nm0075008,Rikard Bergqvist
nm0075528,Greg Berlanti
nm0075627,Alan Berliner
nm0075696,Andrea Berloff
nm0076307,Ludovic Bernard
nm0076362,Philippe Bernard
nm0076435,Jean-Claude Bernardet
nm0076473,Sabine Bernardi
nm0076602,Paul Bernbaum
nm0076820,Robin Bernheim
nm0076914,Franco Bernini
nm0077094,Marcos Bernstein
nm0077278,Georges Berr
nm0078452,Valeria Bertuccelli
nm0078704,Éric Besnard
nm0078917,Claire Best
nm0078943,Janeen Damian
nm0079448,Maggie Betts
nm0079497,Stefan Betz
